Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,3.3uF/16V,C_0603_1608Metric,6.0064,-19.075,-90,top
C2,100nF,C_0603_1608Metric,6.0064,-13.075,-90,top
C3,100nF,C_0603_1608Metric,5.0064,-22.85,90,top
C4,100nF X7R,C_0603_1608Metric,6.0064,-16.075,90,top
C5,10nF,C_0603_1608Metric,23.0064,-9.85,-90,top
C6,10uF X7R,C_0603_1608Metric,7.0064,-22.85,90,top
C7,10nF X7R,C_0603_1608Metric,11.0064,-25.075,0,top
C8,1uF,C_0603_1608Metric,5.0064,-28.075,-90,top
C9,1uF,C_0603_1608Metric,6.0064,-9.85,-90,top
C10,22nF,C_0603_1608Metric,22.0064,-31.575,90,top
R1,10k,R_0603_1608Metric,22.0064,-19.075,-90,top
U2,TLV74318PDBVR,SOT-23-5_HandSoldering,15.0064,-31.5,0,top
